1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
346	-0.284603	256.930396	0.011362	4.4
347	-0.058806	256.586139	0.005242	4.1
348	-0.510215	256.243109	0.008108	4.0
349	-0.132401	255.901300	0.002979	4.2
350	-0.041964	255.560703	0.006460	4.5
351	-0.029104	255.221313	0.005373	4.0
352	-0.217553	254.883122	0.004183	4.2
353	-0.025467	254.546124	0.004278	4.4
354	-0.055316	254.210311	0.004182	4.3
355	-0.227942	253.875677	0.002379	4.4
356	-0.211609	253.542215	0.002607	4.4
357	-0.084510	253.209918	0.013614	4.2
358	-0.014105	252.878781	0.004176	4.6
359	-0.391529	252.548795	0.012755	4.1
360	-0.048426	252.219956	0.007620	4.4
361	-0.026116	251.892255	0.005338	7.0
362	-0.061602	251.565688	0.009503	14.1
363	-0.095812	251.240247	0.005298	5.4
364	-0.251126	250.915926	0.006634	4.8
365	-0.161672	250.592720	0.010286	5.0
366	-0.085134	250.270621	0.012775	4.9
367	-0.088211	249.949624	0.008307	3.9
368	-0.056137	249.629723	0.007129	4.2
369	-0.028643	249.310911	0.003814	3.9
370	-0.382621	248.993182	0.008561	4.5
371	-0.012820	248.676531	0.003185	3.9
372	-0.332921	248.360952	0.004611	4.2
373	-0.068589	248.046438	0.009063	4.4
374	-0.270897	247.732984	0.005837	4.8
375	-0.017407	247.420584	0.004602	4.0
376	-0.349182	247.109233	0.009783	4.4
377	-0.434663	246.798924	0.006514	4.1
378	-0.011235	246.489652	0.003141	4.6
379	-0.390326	246.181412	0.006407	4.1
380	-0.002904	245.874197	0.001304	4.3
381	-0.132395	245.568002	0.005989	4.8
382	-0.154566	245.262822	0.009531	4.5
383	-0.451064	244.958652	0.006979	4.6
384	-0.200800	244.655485	0.006573	4.5
385	-0.052231	244.353317	0.006067	4.8
386	-0.439060	244.052142	0.014232	3.9
387	-0.092621	243.751955	0.012895	4.7
388	-0.270449	243.452750	0.003890	4.3
389	-0.540061	243.154523	0.008463	4.4
390	-0.045891	242.857268	0.006997	3.9
391	-0.238312	242.560980	0.006172	4.3
392	-0.035553	242.265654	0.006374	4.5
393	-0.074179	241.971285	0.008938	4.7
394	-0.003862	241.677868	0.002200	3.9
